"model","failure_type","failures","thows","throws_per_failure","month_per_failure","day_per_failure"
"A-10","Obstruction","52","10515777.5","202226.49","0.58","17.31"
"A-10","Locking","22","10515777.5","477989.89","1.36","40.91"
"A-10","Lock Rod - Out of Adjustment","17","10515777.5","618575.15","1.76","52.94"
"M3","Motor - Not Operating","65","13687252.5","210573.12","0.46","13.85"
"M3","Obstruction","51","13687252.5","268377.5","0.59","17.65"
"M3","Locking","27","13687252.5","506935.28","1.11","33.33"
"M5","Circuit Controller- Out of Adjustment","159","26305247.5","165441.81","0.19","5.66"
"M5","Obstruction","97","26305247.5","271188.12","0.31","9.28"
"M5","Motor - Not Operating","53","26305247.5","496325.42","0.57","16.98"
