system,common_name,description,class,responsible_division,responsibility_center,borough,division,line,in_nearest_station,track,from_point,to_point,manufacturer,tag_id,commission_date,original_install_date,latest_install_date,status,department,model,remaining_useful_life_years,legacy_system_id,criticality,switch_2020,is_critical,environment_pilot,age,div,location,structure,structure_2,usage_pilot,usage_category,usage_category_2,structure_3,trouble_calls,tcpm_all,tc_2019,tcpm_2019,tc_2020,tcpm_2020,tc_2021,tcpm_2021,tc_2022,tcpm_2022,weekly_usage_switch_cycles,usage_switch_throw,usage_category_upd,mthbf,structure_upd
303363,IRT-BBM-407A,SWM: 103 St - Model A-10 (IRT-BBM-407A),SG-SWMCH,DOS-MOW-ELE-SIG,2927,MANHATTAN,IRT,IRT-BB-BROADWAY/7AV,309-103ST-BWY7-1,IRT-BB-M,1144,1144,,303363,1/1/1900,10/6/1999,,Installed-Functioning-In Service,DOS,A-10,NA,1180801,1 - Stops Revenue Operation,407A,No,0,23,SG-S3,Mainline,0,Structure not avail,NA,NA,NA,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303364,IRT-BB4-407B,SWM: 103 St - Model A-10 (IRT-BB4-407B),SG-SWMCH,DOS-MOW-ELE-SIG,2927,MANHATTAN,IRT,IRT-BB-BROADWAY/7AV,309-103ST-BWY7-1,IRT-BB-4,1000,1000,,303364,1/1/1900,10/6/1999,,Installed-Functioning-In Service,DOS,A-10,NA,1180900,1 - Stops Revenue Operation,407B,No,Dry,23,SG-S3,Mainline,Subway,Indoor,1447,1000-2000,890-1777,SUB,0,0,NA,NA,1,0.083333333,NA,NA,NA,NA,0,250,Light,NA,Indoor
303365,IRT-BB1-409,SWM: 103 St - Model A-10 (IRT-BB1-409),SG-SWMCH,DOS-MOW-ELE-SIG,2927,MANHATTAN,IRT,IRT-BB-BROADWAY/7AV,309-103ST-BWY7-1,IRT-BB-1,900,900,,303365,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1181007,1 - Stops Revenue Operation,409,No,Dry,NA,SG-S3,Mainline,Subway,Indoor,1447,1000-2000,890-1777,SUB,0,0,1,0.083333333,1,0.083333333,NA,NA,NA,NA,0,250,Light,NA,Indoor
303366,IND-K3-33A,SWM: 104 St-Oxford - Model M5 (IND-K3-33A),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,IND,IND-K-LIBERTYAV,193-104ST-LIB-A,IND-K-3/4,54933,54933,,303366,1/1/1900,2/28/2017,,Installed-Functioning-In Service,DOS,M5,NA,2866103,1 - Stops Revenue Operation,33A,No,0,5,SG-S2,Mainline,0,Structure not avail,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Structure not avail
303367,IND-K1-33B,SWM: 104 St-Oxford - Model M5 (IND-K1-33B),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,IND,IND-K-LIBERTYAV,193-104ST-LIB-A,IND-K-1,54768,54768,,303367,1/1/1900,,,Installed-Functioning-In Service,DOS,M5,NA,2866509,1 - Stops Revenue Operation,33B,No,Dry,NA,SG-S2,Mainline,Elevated,Outdoor,606,0-1000,0-889,ELV,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Outdoor
303368,IND-K2-37A,SWM: 104 St-Oxford - Model M5 (IND-K2-37A),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,IND,IND-K-LIBERTYAV,193-104ST-LIB-A,IND-K-2,54470,54470,,303368,1/1/1900,,,Installed-Functioning-In Service,DOS,M5,NA,2865204,1 - Stops Revenue Operation,37A,No,Dry,NA,SG-S2,Mainline,Elevated,Outdoor,604,0-1000,0-889,ELV,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Outdoor
303369,IND-K3-37B,SWM: 104 St-Oxford - Model M5 (IND-K3-37B),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,IND,IND-K-LIBERTYAV,193-104ST-LIB-A,IND-K-3/4,54622,54622,,303369,1/1/1900,2/28/2017,,Installed-Functioning-In Service,DOS,M5,NA,2866608,1 - Stops Revenue Operation,37B,No,0,5,SG-S2,Mainline,0,Structure not avail,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Structure not avail
303370,IRT-F2-5A,SWM: 110 St-Central Pk N - Model A-10 (IRT-F2-5A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IRT,IRT-F-LENOX/WHITEPLAINS,441-CENTRALPARKNORTH-110ST-LWP-2/3,IRT-F-2,5846,5846,,303370,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1181106,1 - Stops Revenue Operation,5A,No,Dry,NA,SG-S4,Mainline,Subway,Indoor,2041,2001+,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303371,IRT-F3-5B,SWM: 110 St-Central Pk N - Model A-10 (IRT-F3-5B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IRT,IRT-F-LENOX/WHITEPLAINS,441-CENTRALPARKNORTH-110ST-LWP-2/3,IRT-F-3,5721,5721,,303371,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1181205,1 - Stops Revenue Operation,5B,No,Dry/Wet,NA,SG-S4,Mainline,Subway,Indoor,2041,2001+,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303372,IRT-F2-7A,SWM: 110 St-Central Pk N - Model A-10 (IRT-F2-7A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IRT,IRT-F-LENOX/WHITEPLAINS,441-CENTRALPARKNORTH-110ST-LWP-2/3,IRT-F-2,5721,5721,,303372,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1180108,1 - Stops Revenue Operation,7A,No,Dry,NA,SG-S4,Mainline,Subway,Indoor,2041,2001+,1778+,SUB,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303373,IRT-F3-7B,SWM: 110 St-Central Pk N - Model A-10 (IRT-F3-7B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IRT,IRT-F-LENOX/WHITEPLAINS,441-CENTRALPARKNORTH-110ST-LWP-2/3,IRT-F-3,5846,5846,,303373,1/1/1900,,,Installed-Functioning-In Service,DOS,A-10,NA,1180207,1 - Stops Revenue Operation,7B,No,Dry,NA,SG-S4,Mainline,SUBWAY,Indoor,2041,2001+,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303374,BMT-J2-261A,SWM: 111 St - Model M5 (BMT-J2-261A),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,BMT,BMT-J-JAMAICA,081-111ST-JAM-J,BMT-J-2,59650,59650,,303374,1/1/1900,7/29/1994,,Installed-Functioning-In Service,DOS,M5,NA,4354007,1 - Stops Revenue Operation,261A,No,Dry,28,SG-S2,Mainline,Elevated,Outdoor,889,0-1000,0-889,ELV,2,0.066666667,2,0.166666667,NA,NA,1,0.083333333,1,0.083333333,40,5220,Medium,2610,Outdoor
303375,BMT-J3-261B,SWM: 111 St - Model M5 (BMT-J3-261B),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,BMT,BMT-J-JAMAICA,081-111ST-JAM-J,BMT-J-3/4,59900,59900,,303375,1/1/1900,7/29/1994,,Installed-Functioning-In Service,DOS,M5,NA,4354106,1 - Stops Revenue Operation,261B,No,Dry,28,SG-S2,Mainline,SUBWAY,Indoor,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,40,5220,Medium,NA,Indoor
303376,BMT-J3-263A,SWM: 111 St - Model M5 (BMT-J3-263A),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,BMT,BMT-J-JAMAICA,081-111ST-JAM-J,BMT-J-3/4,59900,59900,,303376,1/1/1900,7/29/1994,,Installed-Functioning-In Service,DOS,M5,NA,4352209,1 - Stops Revenue Operation,263A,No,0,28,SG-S2,Mainline,0,Structure not avail,NA,NA,NA,NA,4,0.133333333,4,0.333333333,2,0.166666667,2,0.166666667,1,0.083333333,20,2610,Light,652.5,Structure not avail
303377,BMT-J1-263B,SWM: 111 St - Model M5 (BMT-J1-263B),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,BMT,BMT-J-JAMAICA,081-111ST-JAM-J,BMT-J-1,59650,59650,,303377,1/1/1900,7/29/1994,,Installed-Functioning-In Service,DOS,M5,NA,4352308,1 - Stops Revenue Operation,263B,No,Dry,28,SG-S2,Mainline,Elevated,Outdoor,904,0-1000,890-1777,ELV,9,0.3,2,0.166666667,NA,NA,2,0.166666667,7,0.583333333,20,2610,Light,290,Outdoor
303378,IRT-C1-603A,SWM: 111 St - Model M3 (IRT-C1-603A),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-1,42069,42069,,303378,1/1/1900,8/6/2002,,Installed-Functioning-In Service,DOS,M3,NA,5261003,1 - Stops Revenue Operation,603A,No,Dry/Dripping,20,SG-S1,Mainline,Elevated,Outdoor,1701,1000-2000,890-1777,ELV,0,0,NA,NA,1,0.083333333,NA,NA,NA,NA,154,20095,Medium,NA,Outdoor
303379,IRT-CMB-603B,SWM: 111 St - Model M3 (IRT-CMB-603B),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MB,41935,41935,,303379,1/1/1900,8/6/2002,,Installed-Functioning-In Service,DOS,M3,NA,5260906,1 - Stops Revenue Operation,603B,No,N/A,20,SG-S1,Spur,N/A,Structure not avail,NA,NA,NA,ELV,0,0,NA,NA,1,0.083333333,NA,NA,NA,NA,154,20095,Medium,NA,Outdoor
303380,IRT-C1-605A,SWM: 111 St - Model M3 (IRT-C1-605A),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-1,41935,41935,,303380,1/1/1900,8/6/2002,,Installed-Functioning-In Service,DOS,M3,NA,5260401,1 - Stops Revenue Operation,605A,No,Dry/Dripping,20,SG-S1,Mainline,Elevated,Outdoor,1801,1000-2000,1778+,ELV,2,0.066666667,NA,NA,NA,NA,NA,NA,2,0.166666667,170,22185,Medium,11092.5,Outdoor
303381,IRT-CMB-605B,SWM: 111 St - Model M3 (IRT-CMB-605B),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MB,42070,42070,,303381,1/1/1900,8/6/2002,,Installed-Functioning-In Service,DOS,M3,NA,5260302,1 - Stops Revenue Operation,605B,No,N/A,20,SG-S1,Spur,N/A,Structure not avail,NA,NA,NA,ELV,0,0,NA,NA,NA,NA,NA,NA,NA,NA,170,22185,Medium,NA,Outdoor
303382,IRT-CMA-623A,SWM: 111 St - Model M3 (IRT-CMA-623A),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MA,42071,42071,,303382,1/1/1900,8/6/2002,,Installed-Functioning-In Service,DOS,M3,NA,5260708,1 - Stops Revenue Operation,623A,No,N/A,20,SG-S1,Yard,N/A,Structure not avail,NA,NA,NA,ELV,1,0.033333333,NA,NA,1,0.083333333,1,0.083333333,NA,NA,187,24395,Medium,24395,Outdoor
303383,IRT-C2-623B,SWM: 111 St - Model M3 (IRT-C2-623B),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-2,41939,41939,,303383,1/1/1900,8/6/2002,,Installed-Functioning-In Service,DOS,M3,NA,5260500,1 - Stops Revenue Operation,623B,No,Dry,20,SG-S1,Mainline,Elevated,Outdoor,1691,1000-2000,890-1777,ELV,0,0,NA,NA,NA,NA,NA,NA,NA,NA,187,24395,Medium,NA,Outdoor
303384,IRT-CMA-625A,SWM: 111 St - Model M3 (IRT-CMA-625A),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MA,41939,41939,,303384,1/1/1900,8/6/2002,,Installed-Functioning-In Service,DOS,M3,NA,5260807,1 - Stops Revenue Operation,625A,No,N/A,20,SG-S1,Yard,N/A,Structure not avail,NA,NA,NA,ELV,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,154,20085,Medium,NA,Outdoor
303385,IRT-C2-625B,SWM: 111 St - Model M3 (IRT-C2-625B),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-2,42072,42072,,303385,1/1/1900,8/6/2002,,Installed-Functioning-In Service,DOS,M3,NA,5260609,1 - Stops Revenue Operation,625B,No,Dry,20,SG-S1,Mainline,Elevated,Outdoor,1691,1000-2000,890-1777,ELV,1,0.033333333,NA,NA,NA,NA,NA,NA,1,0.083333333,154,20085,Medium,20085,Outdoor
303386,IRT-CMB-611A,SWM: 111 St Jct - Model M3 (IRT-CMB-611A),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MB,41763,41763,,303386,1/1/1900,9/2/2002,,Installed-Functioning-In Service,DOS,M3,NA,5285805,3- Minor Delay to Operation,611A,No,N/A,20,SG-S1,Spur,N/A,Structure not avail,NA,NA,NA,ELV,2,0.066666667,NA,NA,NA,NA,NA,NA,2,0.166666667,143,18660,Medium,9330,Outdoor
303387,IRT-CMA-611B,SWM: 111 St Jct - Model M3 (IRT-CMA-611B),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MA,41633,41633,,303387,1/1/1900,9/2/2002,,Installed-Functioning-In Service,DOS,M3,NA,5285904,3- Minor Delay to Operation,611B,No,N/A,20,SG-S1,Yard,N/A,Structure not avail,NA,NA,NA,ELV,1,0.033333333,NA,NA,NA,NA,NA,NA,NA,NA,143,18660,Medium,18660,Outdoor
303388,IRT-CMB-613A,SWM: 111 St Jct - Model M3 (IRT-CMB-613A),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MB,41631,41631,,303388,1/1/1900,12/11/2003,,Installed-Functioning-In Service,DOS,M3,NA,5598208,3- Minor Delay to Operation,613A,No,N/A,19,SG-S1,Spur,N/A,Structure not avail,NA,NA,NA,ELV,2,0.066666667,NA,NA,NA,NA,2,0.166666667,NA,NA,0,250,Light,125,Outdoor
303389,IRT-CMA-613B,SWM: 111 St Jct - Model M3 (IRT-CMA-613B),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MA,41765,41765,,303389,1/1/1900,12/11/2003,,Installed-Functioning-In Service,DOS,M3,NA,5598406,3- Minor Delay to Operation,613B,No,N/A,19,SG-S1,Spur,N/A,Structure not avail,NA,NA,NA,ELV,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Outdoor
303390,IRT-CMB-633A,SWM: 111 St Jct - Model M3 (IRT-CMB-633A),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MB,42308,42308,,303390,1/1/1900,9/2/2002,,Installed-Functioning-In Service,DOS,M3,NA,5285508,3- Minor Delay to Operation,633A,No,N/A,20,SG-S1,Spur,N/A,Structure not avail,NA,NA,NA,ELV,1,0.033333333,NA,NA,NA,NA,NA,NA,1,0.083333333,90,11745,Medium,11745,Outdoor
303391,IRT-CMA-633B,SWM: 111 St Jct - Model M3 (IRT-CMA-633B),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MA,42176,42176,,303391,1/1/1900,9/2/2002,,Installed-Functioning-In Service,DOS,M3,NA,5285607,3- Minor Delay to Operation,633B,No,N/A,20,SG-S1,Yard,N/A,Structure not avail,NA,NA,NA,ELV,0,0,NA,NA,NA,NA,NA,NA,NA,NA,90,11745,Medium,NA,Outdoor
303392,IRT-CMB-635A,SWM: 111 St Jct - Model M3 (IRT-CMB-635A),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MB,42176,42176,,303392,1/1/1900,9/2/2002,,Installed-Functioning-In Service,DOS,M3,NA,5285300,3- Minor Delay to Operation,635A,No,N/A,20,SG-S1,Spur,N/A,Structure not avail,NA,NA,NA,ELV,0,0,NA,NA,NA,NA,NA,NA,NA,NA,251,32730,Medium,NA,Outdoor
303393,IRT-CMA-635B,SWM: 111 St Jct - Model M3 (IRT-CMA-635B),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MA,42306,42306,,303393,1/1/1900,9/2/2002,,Installed-Functioning-In Service,DOS,M3,NA,5285409,3- Minor Delay to Operation,635B,No,N/A,20,SG-S1,Yard,N/A,Structure not avail,NA,NA,NA,ELV,0,0,NA,NA,NA,NA,NA,NA,NA,NA,251,32730,Medium,NA,Outdoor
303394,IRT-CMC-637,SWM: 111 St Jct - Model M3 (IRT-CMC-637),SG-SWMCH,DOS-MOW-ELE-SIG,2917,QUEENS,IRT,IRT-C-FLUSHING,449-111ST-FLS-7,IRT-C-MC,42508,42508,,303394,1/1/1900,9/2/2002,,Installed-Functioning-In Service,DOS,M3,NA,5285706,3- Minor Delay to Operation,637,No,N/A,20,SG-S1,Spur,N/A,Structure not avail,NA,NA,NA,ELV,0,0,1,0.083333333,1,0.083333333,NA,NA,NA,NA,0,250,Light,NA,Outdoor
303395,BMT-J2-291A,SWM: 121 St - Model M3 (BMT-J2-291A),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,BMT,BMT-J-JAMAICA,080-121ST-JAM-J/Z,BMT-J-2,59650,59650,,303395,1/1/1900,1/19/1988,,Installed-Functioning-In Service,DOS,M3,NA,3803302,1 - Stops Revenue Operation,291A,No,Dry,34,SG-S2,Mainline,Elevated,Outdoor,889,0-1000,0-889,ELV,5,0.166666667,1,0.083333333,NA,NA,4,0.333333333,1,0.083333333,0,250,Light,50,Outdoor
303396,BMT-J1-291B,SWM: 121 St - Model M3 (BMT-J1-291B),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,BMT,BMT-J-JAMAICA,080-121ST-JAM-J/Z,BMT-J-1,59900,59900,,303396,1/1/1900,1/19/1988,,Installed-Functioning-In Service,DOS,M3,NA,3803203,1 - Stops Revenue Operation,291B,No,Dry,34,SG-S2,Mainline,Elevated,Outdoor,904,0-1000,890-1777,ELV,1,0.033333333,NA,NA,NA,NA,NA,NA,1,0.083333333,0,250,Light,250,Outdoor
303397,BMT-J2-293A,SWM: 121 St - Model M3 (BMT-J2-293A),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,BMT,BMT-J-JAMAICA,080-121ST-JAM-J/Z,BMT-J-2,59900,59900,,303397,1/1/1900,1/19/1988,,Installed-Functioning-In Service,DOS,M3,NA,3803500,1 - Stops Revenue Operation,293A,No,Dry,34,SG-S2,Mainline,Elevated,Outdoor,889,0-1000,0-889,ELV,0,0,NA,NA,1,0.083333333,NA,NA,NA,NA,0,250,Light,NA,Outdoor
303398,BMT-J1-293B,SWM: 121 St - Model M3 (BMT-J1-293B),SG-SWMCH,DOS-MOW-ELE-SIG,2922,QUEENS,BMT,BMT-J-JAMAICA,080-121ST-JAM-J/Z,BMT-J-1,59650,59650,,303398,1/1/1900,1/19/1988,,Installed-Functioning-In Service,DOS,M3,NA,3803401,1 - Stops Revenue Operation,293B,No,Dry,34,SG-S2,Mainline,Elevated,Outdoor,904,0-1000,890-1777,ELV,0,0,NA,NA,1,0.083333333,NA,NA,NA,NA,0,250,Light,NA,Outdoor
303399,IND-A4-405A,SWM: 125 St - Model A-10 (IND-A4-405A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-4,130257,130257,,303399,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,4087509,1 - Stops Revenue Operation,405A,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1803,1000-2000,1778+,SUB,0,0,1,0.083333333,1,0.083333333,NA,NA,NA,NA,0,250,Light,NA,Indoor
303400,IND-A2-405B,SWM: 125 St - Model A-10 (IND-A2-405B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-2,130448,130448,,303400,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,4087608,1 - Stops Revenue Operation,405B,No,Dry/Dripping,33,SG-S4,Mainline,Subway,Indoor,1335,1000-2000,890-1777,SUB,1,0.033333333,NA,NA,NA,NA,NA,NA,1,0.083333333,0,250,Light,250,Indoor
303401,IND-A4-407A,SWM: 125 St - Model A-10 (IND-A4-407A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-4,130448,130448,,303401,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2512904,1 - Stops Revenue Operation,407A,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1803,1000-2000,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303402,IND-A2-407B,SWM: 125 St - Model A-10 (IND-A2-407B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-2,130257,130257,,303402,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2513605,1 - Stops Revenue Operation,407B,No,Dry/Dripping,33,SG-S4,Mainline,Subway,Indoor,1335,1000-2000,890-1777,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303403,IND-A1-421A,SWM: 125 St - Model A-10 (IND-A1-421A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-1,130257,130257,,303403,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2512607,1 - Stops Revenue Operation,421A,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1331,1000-2000,890-1777,SUB,3,0.1,1,0.083333333,1,0.083333333,NA,NA,2,0.166666667,0,250,Light,83.33333333,Indoor
303404,IND-A3-421B,SWM: 125 St - Model A-10 (IND-A3-421B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-3,130448,130448,,303404,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2513407,1 - Stops Revenue Operation,421B,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1807,1000-2000,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303405,IND-A1-423A,SWM: 125 St - Model A-10 (IND-A1-423A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-1,130448,130448,,303405,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,4087301,1 - Stops Revenue Operation,423A,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1331,1000-2000,890-1777,SUB,1,0.033333333,NA,NA,2,0.166666667,1,0.083333333,NA,NA,0,250,Light,250,Indoor
303406,IND-A3-423B,SWM: 125 St - Model A-10 (IND-A3-423B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-3,130257,130257,,303406,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,4087400,1 - Stops Revenue Operation,423B,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1807,1000-2000,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303407,IND-A3-433A,SWM: 125 St - Model A-10 (IND-A3-433A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-3,130475,130475,,303407,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2512409,1 - Stops Revenue Operation,433A,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1807,1000-2000,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303408,IND-A4-433B,SWM: 125 St - Model A-10 (IND-A4-433B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-4,130600,130600,,303408,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2512508,1 - Stops Revenue Operation,433B,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1803,1000-2000,1778+,SUB,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303409,IND-A3-435A,SWM: 125 St - Model A-10 (IND-A3-435A),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-3,130600,130600,,303409,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2513209,1 - Stops Revenue Operation,435A,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1807,1000-2000,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303410,IND-A4-435B,SWM: 125 St - Model A-10 (IND-A4-435B),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-4,130471,130471,,303410,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2513308,1 - Stops Revenue Operation,435B,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1803,1000-2000,1778+,SUB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
303411,IND-A1-447,SWM: 125 St - Model A-10 (IND-A1-447),SG-SWMCH,DOS-MOW-ELE-SIG,2918,MANHATTAN,IND,IND-A-8AV/FULTONST,153-125ST-8AV-A/B/C/D,IND-A-1,130671,130671,,303411,1/1/1900,11/13/1989,,Installed-Functioning-In Service,DOS,A-10,NA,2512300,1 - Stops Revenue Operation,447,No,Dry,33,SG-S4,Mainline,Subway,Indoor,1331,1000-2000,890-1777,SUB,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,0,250,Light,NA,Indoor
